UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K02291,K03629
K02293,K03630
K02297,K03631
K02298,K03632
K02299,K03634
K02300,K03636
K02302,K03637
K02303,K03639
K02304,K03641
K02305,K03642
K02313,K03646
K02314,K03648
K02315,K03649
K02316,K03650
K02317,K03651
K02319,K03652
K02320,K03654
K02322,K03655
K02323,K03656
K02327,K03657
K02334,K03658
K02335,K03660
K02336,K03664
K02337,K03665
K02338,K03666
K02339,K03671
K02340,K03676
K02341,K03684
K02342,K03685
K02343,K03686
K02344,K03687
K02345,K03688
K02346,K03694
K02347,K03695
K02348,K03696
K02349,K03698
K02351,K03699
K02352,K03700
K02355,K03701
K02356,K03702
K02357,K03703
K02358,K03704
K02359,K03705
K02361,K03706
K02362,K03707
K02363,K03708
K02364,K03709
K02367,K03710
K02369,K03711
K02370,K03715
K02371,K03716
K02372,K03717
K02377,K03718
K02379,K03719
K02380,K03721
K02381,K03722
K02383,K03723
K02384,K03724
K02385,K03727
K02386,K03732
K02387,K03733
K02388,K03734
K02389,K03735
K02390,K03736
K02391,K03737
K02392,K03738
K02393,K03739
K02394,K03740
K02395,K03741
K02396,K03742
K02397,K03743
K02398,K03744
K02399,K03748
K02400,K03750
K02401,K03752
K02402,K03753
K02403,K03757
K02404,K03759
K02405,K03762
K02406,K03763
K02407,K03767
K02408,K03768
K02409,K03769
K02410,K03770
K02411,K03771
K02412,K03773
K02413,K03778
K02414,K03779
K02415,K03780
K02416,K03781
K02417,K03782
K02418,K03783
K02419,K03784
K02420,K03785
K02421,K03786
K02422,K03787
K02423,K03789
K02424,K03790
K02425,K03791
K02426,K03793
K02427,K03797
K02428,K03798
K02429,K03799
K02430,K03800
K02431,K03801
K02433,K03802
K02434,K03803
K02435,K03809
K02436,K03810
K02437,K03811
K02438,K03816
K02439,K03817
K02440,K03818
K02441,K03819
K02442,K03821
K02443,K03823
K02444,K03824
K02445,K03825
K02446,K03826
K02448,K03827
K02450,K03828
K02451,K03830
K02452,K03832
K02453,K03833
K02454,K03834
K02455,K03851
K02456,K03855
K02457,K03856
K02458,K03867
K02459,K03885
K02460,K03892
K02461,K03918
K02462,K03919
K02463,K03924
K02464,K03925
K02465,K03928
K02466,K03929
K02467,K03930
K02468,K03931
K02469,K03932
K02470,K03933
K02471,K03955
K02472,K03969
K02473,K03973
K02474,K03974
K02475,K03975
K02476,K03976
K02477,K03977
K02478,K03978
K02479,K03979
